description,link to buy,unit price,number,extended price,vendor,vendor part number,manfacturer ,manufacturer part number
"1/2"" White oak board, 4"" x 24""",https://ocoochhardwoods.com/detail/?i=124wo, $5.40 ,1, $5.40 ,Ocooch Hardwoods,,Ocooch Hardwoods,
"Brass Flared-Collar Knurled-Head Thumb Screws 10-32 Thread Size, 3/4"" Long",https://www.mcmaster.com/92421A645/, $1.62 ,4, $6.48 ,McMaster Carr,92421A645,,
#6 wood screws,https://www.amazon.com/Stainless-Phillips-Screws-Multipurpose-TPOHH/dp/B0CHRWGT8N, $0.07 ,10, $0.70 ,Amazon, ,,
HV-DCDC-bracket,,,1,,in house prototype,,,
arduino-bracket, ,,1,,in house prototype,,,
front-panel-edge-bracket, ,,2,,in house prototype,,,
ront-panel-center-bracket,,,2,,in house prototype,,,
Brass threaded inserts #4-40 ,https://www.3djake.com/ruthex/threaded-insert-4-40-unc-100-pieces, $0.08 ,11, $0.89 ,3dJake,RUT-GE-4-40x57-001,ruthex,GE-4-40x57-001
"Zinc-Plated Steel Pan Head Phillips Screw 4-40 Thread, 1/4"" Long",https://www.mcmaster.com/90272A106/, $0.02 ,11, $0.20 ,McMaster Carr,90272A106,,
"Diecast aluminum enclosure, AN-1304-A from BUD Industries",https://www.digikey.com/en/products/detail/bud-industries/AN-1304-A/5804538, $14.90 ,1, $14.90 ,Digikey,377-2395-ND,Bud Industries,AN-1304-A
"Male-Female Threaded Hex Standoff 18-8 Stainless Steel, 3/16"" Hex, 7/32"" Long, 4-40 to 4-40 Thread",https://www.mcmaster.com/91075A462/, $3.73 ,2, $7.46 ,McMaster Carr,91075A462,,
"Brass Socket Head Screw 4-40 Thread Size, 3/4"" Long",https://www.mcmaster.com/93465A113/ , $1.20 ,2, $2.40 ,McMaster Carr,93465A113,,
"Brass Washer for Number 4 Screw Size, 0.12"" ID, 0.281"" OD",https://www.mcmaster.com/92916A320/, $0.05 ,2, $0.10 ,McMaster Carr,92916A320,,
5V-12V boost,https://www.amazon.com/KUNCAN-Converter-Cable-Voltage-Connector/dp/B01ID90K4A/?th=1, $11.99 ,1, $11.99 ,Amazon,B01ID90K4A,KUNCAN,KC-SU-10-2
12V to HV boost,https://www.amazon.com/Voltage-Converter-Vintage-Indicator-80V-380V/dp/B09D93QNYK, $11.39 ,1, $11.39 ,Amazon,B09D93QNYK,QINIZX,NIXIE-HV380V
heat shrink tubing,https://www.digikey.com/en/products/detail/3m/SFTW203-1-16-BL-SPL/22044171, $1.89 ,1, $1.89 ,Digikey,"19-SFTW2031/16""BLSPL-DS-ND",3M,"SFTW203 1/16"" BL SPL"
"9button-9neopixel 228.6mm x 88.9mm (9"" x 3.5"")",, $5.98 ,1, $5.98 ,PCBWay,,,
"arduino-to-headers-shield 53.34 mm x 70.78 mm (2.1"" x 2.79"")",, $1.82 ,1, $1.82 ,PCBWay,,,
"DB25-relay-HV-control 78.74 mm x 71.12 mm (3.1""x2.8"")",, $1.82 ,1, $1.82 ,PCBWay,,,
100k axial resistor,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNF14FTD100K/1706591, $0.10 ,1, $0.10 ,Digikey,RNF14FTD100KCT-ND,Stackpole Electronics Inc,RNF14FTD100K
10k axial resistor,https://www.digikey.com/en/products/detail/yageo/MFR-25FBF52-10K/13219, $0.05 ,9, $0.45 ,Digikey,10.0KXBK-ND,YAGEO ,MFR-25FBF52-10K
330 ohm axial resistor,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF18JT330R/1741683, $0.10 ,2, $0.20 ,Digikey,CF18JT330RCT-ND,Stackpole Electronics Inc,CF18JT330R
1000 uF electrolytic capacitor,https://www.digikey.com/en/products/detail/rubycon/16PK1000MEFC10X12-5/3563556, $0.51 ,1, $0.51 ,Digikey,1189-1719-ND,Rubycon,16PK1000MEFC10X12.5
Momentary buttons,https://www.digikey.com/en/products/detail/e-switch/TL59NF160Q/390533, $0.29 ,9, $2.61 ,Digikey,EG2532TB-ND,E Switch,TL59NF160Q
1 Mohm 1206 SMT resistor 1%,https://www.digikey.com/en/products/detail/yageo/RC1206FR-071ML/728388, $0.02 ,20, $0.40 ,Digikey,311-1.00MFRCT-ND,YAGEO ,RC1206FR-071ML
DB25 board mount connector,https://www.digikey.com/en/products/detail/assmann-wsw-components/A-DF-25-PP-Z/1241794, $1.17 ,1, $1.17 ,Digikey,AE10940-ND,Assmann WSW Components,A-DF 25 PP/Z
RELAY REED SIP SPST .5A 5V W/DIO,https://www.digikey.com/en/products/detail/comus-international/3570-1331-053/7497099, $1.42 ,20, $28.40 ,Digikey,1835-1117-ND,Comus International,3570-1331-053
Arduino UNO,https://www.digikey.com/en/products/detail/dfrobot/DFR0216/6579366, $16.90 ,1, $16.90 ,Digikey,1738-1228-ND,DFRobot,DFR0216
USB A to USB B cable,https://www.digikey.com/en/products/detail/assmann-wsw-components/AK672-2-2/947492, $1.64 ,1, $1.64 ,Digikey,AE1493-ND,Assmann WSW Components,AK672/2-2
Neopixel programmable RGB LED,https://www.adafruit.com/product/1559, $1.25 ,9, $11.25 ,Adafruit,1559,Adafruit,1559
2 wire header cable,https://www.amazon.com/ZYAMY-Dupont-Connector-Multicolor-Breadboard/dp/B0B8Z23NWX/, $0.60 ,1, $0.60 ,Amazon,,,
4 wire header cable,https://www.amazon.com/ZYAMY-Dupont-Connector-Multicolor-Breadboard/dp/B0789F523N/, $0.79 ,9, $7.11 ,Amazon,,,
8 wire header cable,https://www.amazon.com/ZYAMY-Dupont-Connector-Multicolor-Breadboard/dp/B0789F2Y1T/ , $0.99 ,2, $1.98 ,Amazon,,,
"0.1"" headers",https://www.amazon.com/Header-Lystaii-Pin-Connector-Electronic/dp/B06ZZN8L9S/, $0.09 ,3, $0.27 ,Amazon,,,
DB25 to Fischer Cable,https://aivon.fi,,1,,Aivon,,,
,,,, $118.44 ,,,,
