Design file name, File type,Open Source License,Location of the file
6button-6eopixel.SchDoc,Altium schematic file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/6button-6eopixel.SchDoc
6button-6neopixel-BOM.xlsx,Bill of Materials(Excel file),Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/6button-6neopixel-BOM.xlsx
6button-6neopixel-gerbers.zip,ZIP of Gerber Files used to manufacture board,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/6button-6neopixel-gerbers.zip
6button-6neopixel.PcbDoc,Altium layout file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/6button-6neopixel.PcbDoc
6button-6neopixel.SLDDRW,SolidWorks drawing file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/6button-6neopixel.SLDDRW
6button-6neopixel.SLDPRT,SolidWorks part file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/6button-6neopixel.SLDPRT
6button-6neopixel.pdf,Drawing,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/6button-6neopixel.pdf
6button-6neopixels.PrjPcb,Altium project file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/6button-6neopixels.PrjPcb
6button-6neopixels.PrjPcbStructure,Altium project structure file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/6button-6neopixels.PrjPcbStructure
9button-9neopixel-BOM.xlsx,Bill of Materials(Excel file),Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/9button-9neopixel-BOM.xlsx
9button-9neopixel-gerbers.zip,ZIP of Gerber Files used to manufacture board,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/9button-9neopixel-gerbers.zip
9button-9neopixel.PcbDoc,Altium layout file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/9button-9neopixel.PcbDoc
9button-9neopixel.SLDDRW,SolidWorks drawing file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/9button-9neopixel.SLDDRW
9button-9neopixel.SLDPRT,SolidWorks part file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/9button-9neopixel.SLDPRT
9button-9neopixel.SchDoc,Altium schematic file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/9button-9neopixel.SchDoc
9button-9neopixel.pdf,Drawing,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/9button-9neopixel.pdf
9button-9neopixels.PrjPcb,Altium project file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/9button-9neopixels.PrjPcb
9button-9neopixels.PrjPcbStructure,Altium project structure file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/9button-9neopixels.PrjPcbStructure
DB25-relay-HV-control-BOM.xlsx,Bill of Materials(Excel file),Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/DB25-relay-HV-control-BOM.xlsx
DB25-relay-HV-control-gerbers.zip,ZIP of Gerber Files used to manufacture board,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/DB25-relay-HV-control-gerbers.zip
DB25-relay-HV-control.PcbDoc,Altium layout file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/DB25-relay-HV-control.PcbDoc
DB25-relay-HV-control.PrjPcb,Altium project file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/DB25-relay-HV-control.PrjPcb
DB25-relay-HV-control.PrjPcbStructure,Altium project structure file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/DB25-relay-HV-control.PrjPcbStructure
DB25-relay-HV-control.SchDoc,Altium schematic file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/DB25-relay-HV-control.SchDoc
MEMSduino-pcb.zip,ZIP of Gerber Files used to manufacture board,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/MEMSduino-pcb.zip
arduino-to-headers-shield-BOM.xlsx,Bill of Materials(Excel file),Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/arduino-to-headers-shield-BOM.xlsx
arduino-to-headers-shield-gerbers.zip,ZIP of Gerber Files used to manufacture board,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/arduino-to-headers-shield-gerbers.zip
arduino-to-headers-shield.PcbDoc,Altium layout file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/arduino-to-headers-shield.PcbDoc
arduino-to-headers-shield.PrjPcb,Altium project file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/arduino-to-headers-shield.PrjPcb
arduino-to-headers-shield.PrjPcbStructure,Altium project structure file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/arduino-to-headers-shield.PrjPcbStructure
arduino-to-headers-shield.SchDoc,Altium schematic file,Public Domain,https://github.com/lafefspietz/MEMSduino/raw/refs/heads/main/pcb/arduino-to-headers-shield.SchDoc
